category,title,author,reply_count,content_preview,post_url,crawl_time
内容缺失,挺有实力的,我想上学w,17,依旧数学的魅力 点击展开，查看完整图片,https://tieba.baidu.com/p/10372654585,2026-01-19 23:52:25
职业/就业,复旦经济就业,风的脚步1...,2,8u们好，我有一个学弟在复旦学经济...,https://tieba.baidu.com/p/10387473956,2026-01-19 23:53:22
个人情感/故事,被网恋女友删了，中间转过几万，现在想捞人...,急行东北,87,只知道三个字的名字，最后一个字叫珍...,https://tieba.baidu.com/p/10292974626,2026-01-19 23:53:37
广告/推广,严肃转载wyh老师朋友圈,五个火枪手,30,蛋吧已许久不曾有高质量氵贴...,https://tieba.baidu.com/p/10328864563,2026-01-19 23:53:53
职业/就业,寒假请家教，教高中数学,月亮源源,1,本人学生家长，想找一位教高中数学的学生做家教...,https://tieba.baidu.com/p/10392215710,2026-01-19 23:54:09
内容缺失,为什么李白的诗中几乎从不提起复旦大学,真不抽芙...,2,无法提取内容,https://tieba.baidu.com/p/10394348223,2026-01-19 23:54:24
校园生活/服务,我今天看到张江校区的宿舍楼开始装修了,garden,0,预计将在6月底完工，9月份开学可以入住了,https://tieba.baidu.com/p/10378167517,2026-01-19 23:54:40
内容缺失,我今天看到江湾校区的数学科学楼已经开工了,garden,1,无法提取内容,https://tieba.baidu.com/p/10389851014,2026-01-19 23:54:54
校园讨论/吐槽,别双标了，我还会在学校洗衣房洗袜子的,蛋吧梁朝偉,10,首先，公共洗衣房并没有规定禁止洗袜子...,https://tieba.baidu.com/p/10211903859,2026-01-19 23:55:10
个人情感/故事,求恋爱大手子指点一下,五个火枪手,10,跟平时不怎么交流的异性怎么找话题呢...,https://tieba.baidu.com/p/10385974876,2026-01-19 23:55:25
内容缺失,复旦哥怎么看,瞎想周...,0,无法提取内容,https://tieba.baidu.com/p/10208018623,2026-01-19 23:56:01
校园讨论/吐槽,我们吧的学术氛围在哪里？,guil0078,7,逛了很久，几乎没看到什么讨论学术的内容...,https://tieba.baidu.com/p/10275918298,2026-01-19 23:56:18
内容缺失,所有人都应该关注🥚吧,五个火枪手,18,Ref 点击展开，查看完整图片,https://tieba.baidu.com/p/10324281008,2026-01-19 23:56:34
校园生活/服务,乱成啥了都,酒离君,5,坐标邯郸，刚我去校门口拿外卖的时候就看到有几个人...,https://tieba.baidu.com/p/10381607626,2026-01-19 23:56:49
学术/学习,高数那本紫皮书难度如何,贴吧用户_...,0,高数上册的部分已经来回看了好多回了...,https://tieba.baidu.com/p/10380094516,2026-01-19 23:57:05
内容缺失,12345,小慈老师w...,15,reference : 点击展开，查看完整图片,https://tieba.baidu.com/p/10308136992,2026-01-19 23:57:21
校园生活/服务,友友想租电瓶车,郁白梦,0,想租一个电瓶车，校内同学寒假回家的话...,https://tieba.baidu.com/p/10378975582,2026-01-19 23:57:36
水帖/闲聊,服了期末周了,鹤离兮11,14,树洞已经变成Gary的形状了,https://tieba.baidu.com/p/10369066101,2026-01-19 23:57:52
职业/就业,给两岁宝宝找英文陪玩,change最,0,家有女宝即将满2岁，诚寻英文母语留学生...,https://tieba.baidu.com/p/10377920925,2026-01-19 23:58:06
学术/学习,复旦2026计算创新学院085400电子信息复试内容求助,绿山巨人,1,求助一下学长学姐，想问问复旦085400电子信息的复试内容...,https://tieba.baidu.com/p/10373524716,2026-01-19 23:58:22
水帖/闲聊,终于黄牌力,👆王智贤,0,老规矩 ldx给我爆金币 xdx给我👻一个...,https://tieba.baidu.com/p/10412416877,2026-01-20 00:09:57
水帖/闲聊,建个水贴楼,依旧没有...,250,此贴为吧内水帖，来的可以多加3。,https://tieba.baidu.com/p/10364638698,2026-01-20 00:10:07
学术/学习,大家知道申请尼师奖学金要求是什么吗,张冠李戴...,8,rt，小登也卷了一个学期了，想看看能不能申请个奖学金...,https://tieba.baidu.com/p/10410906540,2026-01-20 00:10:37
水帖/闲聊,开个氵贴，冲刺黄牌了,丹霞从小...,1245,丹霞从小就很可爱: 3 2025-10-11 08:43回复...,https://tieba.baidu.com/p/10115516886,2026-01-20 00:10:47
学术/学习,华东师范大学毕设格式,rainarch,5,可直接上华师大官方模板支持的aiyu-tech.com 免费使用。,https://tieba.baidu.com/p/9699999351,2026-01-20 00:10:56
学术/学习,孩子要毕不了业了……,東夜紅,1,你们从哪儿找的被试？我一个线上问卷几天才收到25份...,https://tieba.baidu.com/p/10406366661,2026-01-20 00:11:26
学术/学习,中文非师之后要走教师路线怎么选课？,repacep,4,目前大一，之后要申请教育实习的话需要选修教师教育板块...,https://tieba.baidu.com/p/10403383001,2026-01-20 00:11:36
校园生活/服务,吃上印度🇮🇳飞饼了家人们,哈士奇,28,17¥感觉有点贵 一个师傅摊饼，另一个师傅煎饼...,https://tieba.baidu.com/p/10353144625,2026-01-20 00:12:06
校园讨论/吐槽,外语学院关键语种教育研究中心,贴吧用户_...,0,中心朱彦教授向与会者介绍了外语教育学科筹备工作的最新进展...,https://tieba.baidu.com/p/10402752620,2026-01-20 00:12:35
学术/学习,通信学院非全日制,starryyyyy,9,uu们有没有知道通信工程非全有哪些导师比较散养呀...,https://tieba.baidu.com/p/9647772031,2026-01-20 00:13:26
学术/学习,导师咨询救救,早早做梦,2,有没有人比较熟悉通信工程专硕的导师啊，想咨询一下...,https://tieba.baidu.com/p/10362023534,2026-01-20 00:13:35
学术/学习,你师当前思政怎么计算绩点,哦米噶弟弟,4,及格低保是1.5我记得,https://tieba.baidu.com/p/10377610504,2026-01-20 00:14:04
学术/学习,毕业论文字数不够被抽查了,山冥酱,5,外校抽检的话，学院要求没达到其实问题不是很大...,https://tieba.baidu.com/p/9668372350,2026-01-20 00:14:34
内容缺失,让我们大声喊出那个字！,梅菜不扣肉_,2,win！ 点击展开，查看完整图片,https://tieba.baidu.com/p/10399397676,2026-01-20 00:15:08
学术/学习,uu们，化学学院挂科还能保研吗,吾欲封天44,4,uu们，咱们学校挂科还能参与保研吗？...,https://tieba.baidu.com/p/10393782273,2026-01-20 00:15:23
校园生活/服务,拿证到手了,innovate511,11,之前还是校园卡，马上要变校友卡了...,https://tieba.baidu.com/p/10386823493,2026-01-20 00:15:39
水帖/闲聊,开个水帖试试,魔想志津香X,251,无法提取内容,https://tieba.baidu.com/p/10301831590,2026-01-20 00:16:15
学术/学习,有没有华师大非全的软工或计算机的同志，一起聊聊咋毕业呀~,H_Jesse_,5,请问一下大家的论文是怎么写的哦,https://tieba.baidu.com/p/7941514518,2026-01-20 00:16:31
学术/学习,27考研华师大物理专业量子力学622普物818,L‘amour,7,第一次在这里求助大家，很紧张，也很感谢各位。本人是浙江师范大学本科物理专业...,https://tieba.baidu.com/p/10387631552,2026-01-20 00:17:06
内容缺失,恭喜某人第一次带博士生😘,贴吧用户_...,0,无法提取内容,https://tieba.baidu.com/p/10393179008,2026-01-20 00:17:22
内容缺失,标题五个字,DT9025A,7,🦁→🦅 win 点击展开，查看完整图片,https://tieba.baidu.com/p/10375939040,2026-01-20 00:17:37
水帖/闲聊,预言家刀了,张冠李戴...,8,你别说，还真有可能，物理系鼠鼠自己就先win为敬,https://tieba.baidu.com/p/10383345806,2026-01-20 00:18:13
内容缺失,比北师大多了，赢😭😭😭😭😭😭😭😭,bluebutyou,5,点击展开，查看完整图片,https://tieba.baidu.com/p/10386824600,2026-01-20 00:18:30
校园讨论/吐槽,大一小登想转专业,洋智槐02805,14,新闻学与数据科学双学位转到软工概率大吗,https://tieba.baidu.com/p/10316454589,2026-01-20 00:19:06
内容缺失,我今天看到闵行校区的六个工程中的最后一个也开工了,garden,1,无法提取内容,https://tieba.baidu.com/p/10383842118,2026-01-20 00:19:21
广告/推广,老学长来了，新人第一波，科研指令汇总，免费分享！,贴吧用户_...,0,有需要的，可以去网站首页 ai66.org获取免费的学术指令...,https://tieba.baidu.com/p/10384233025,2026-01-20 00:19:36
职业/就业,求寒假家教,贴吧用户_...,0,坐标:闵行区永德路地铁站口（心梦园小区）...,https://tieba.baidu.com/p/10384043477,2026-01-20 00:20:12
学术/学习,想问下软件学院陈铭松老师如何，刚收到了入营通知...,贴吧用户_...,1,无法提取内容,https://tieba.baidu.com/p/8471409293,2026-01-20 00:21:29
学术/学习,有无历史学系牢登,某不知名...,3,求资料。可调教，可陪玩，可当学术奴隶处理和找文本资料。,https://tieba.baidu.com/p/10370758743,2026-01-20 00:21:45
内容缺失,朱老师好棒呀🥳,贴吧用户_...,0,2025硕果累累，2026继续加油,https://tieba.baidu.com/p/10381798390,2026-01-20 00:22:21
学术/学习,有没有上岸编辑出版专业的学长学姐啊，跪求指导...,软包子R,0,无法提取内容,https://tieba.baidu.com/p/10380781488,2026-01-20 00:22:57
校园生活/服务,银行卡维护最近怎么一直进不去,月丿美兔,0,无法提取内容,https://tieba.baidu.com/p/10379891819,2026-01-20 00:23:13
校园生活/服务,驾校咨询帖,wdlrwan,1,有没有铁铁知道师师情报局推荐的168驾校...,https://tieba.baidu.com/p/10243432945,2026-01-20 00:23:28
学术/学习,求助 - 空间人工智能学院,又是煎饼...,0,友友们，请问有空间人工智能学院的博士师兄师姐吗...,https://tieba.baidu.com/p/10378021781,2026-01-20 00:23:43
水帖/闲聊,得到情报，钱旭红正潜伏在华东师范大学吧里,魔法少女...,31,给你们这群不尊重量子思维老子思维的全图图了😡...,https://tieba.baidu.com/p/8976887804,2026-01-20 00:24:40
校园生活/服务,有人知道普陀15舍那个淋浴什么情况吗？,斐波那契...,1,现在普陀宿舍一楼淋浴已经是相当于只能用一个了...,https://tieba.baidu.com/p/10375795512,2026-01-20 00:24:55
校园讨论/吐槽,华东师范大学,星期天...,21,华师大普陀校区怎么样？,https://tieba.baidu.com/p/9094525986,2026-01-20 00:26:35
学术/学习,收华东师范大学高等数学和大学英语卷子,贴吧用户_...,1,期末/期中/各种免修卷 都要,https://tieba.baidu.com/p/10374469134,2026-01-20 00:26:51
学术/学习,标题五个字,哈哈哈有...,3,找物理学的学长学姐问一下专业课的书...,https://tieba.baidu.com/p/9837440467,2026-01-20 00:27:26
校园生活/服务,请问闵行研寓这边有人出租单人间吗？想长租一年,841870608,0,现在的双人间感觉有点不太适应，想搬去单人间,https://tieba.baidu.com/p/10372215928,2026-01-20 00:28:22
校园生活/服务,捞闵行校区男生代课,托雷斯,3,捞闵行校区男生 12月5日周五13：00-14：35代课,https://tieba.baidu.com/p/10270573859,2026-01-20 00:28:37
校园生活/服务,md，尼师的神人是真的没眼睛吗,张冠李戴...,5,rt，鼠鼠从洗衣机去东西的，发现不仅放进去的裤子不见了...,https://tieba.baidu.com/p/10279734963,2026-01-20 00:28:52
学术/学习,有偿求试卷,@.：7,1,有没有运动解剖等体院往年期末试卷的 有偿！,https://tieba.baidu.com/p/10369197524,2026-01-20 00:29:28
学术/学习,考研上华东师范大学物理专业复习书籍、习题集推荐,L‘amour,0,第一次在这里求助大家，很紧张，也很感谢各位。本人是浙江师范大学本科物理专业...,https://tieba.baidu.com/p/10369123365,2026-01-20 00:29:42
水帖/闲聊,🦁🧊们win麻了,张冠李戴...,12,win得我心惊胆战的，这到底是充了多少啊...,https://tieba.baidu.com/p/10365292572,2026-01-20 00:31:00
职业/就业,有没有人想找不离校也能做的实习？,图书馆C17,1,你是否也常被这些问题卡住喉咙：收到HR回复...,https://tieba.baidu.com/p/10006767276,2026-01-20 00:31:15
内容缺失,又到周一了,真人780,2,无法提取内容,https://tieba.baidu.com/p/10367036137,2026-01-20 00:31:30
校园讨论/吐槽,这个新校长怎么样，有没有懂得,369111,9,rt只求别折腾 点击展开，查看完整图片,https://tieba.baidu.com/p/10349798251,2026-01-20 00:32:27
个人情感/故事,师兵们都是咋来到华师的？,旅友存d,22,鼠鼠是物化生大爆炸考败来师，想听听你们的故事,https://tieba.baidu.com/p/10300098407,2026-01-20 00:32:42
校园生活/服务,有没有人可以帮我到课上录音啊，有偿,贴吧用户_...,0,因为之前休学的缘故，这学期没有宿舍了...,https://tieba.baidu.com/p/10365028419,2026-01-20 00:32:57
学术/学习,【2024】上海交通大学答疑贴,阿里66999,94,上海交通大学往年各专业录取分数线有吗,https://tieba.baidu.com/p/9070952958,2026-01-19 20:01:51
广告/推广,转贴:九天飞艇制造有限公司,科技,交通工具,好看视频,扬落雪尘,0,古老而新颖的低空航空器重新问世……...,https://tieba.baidu.com/p/10411180077,2026-01-19 20:02:00
内容缺失,新闻的报导,水晶小鹤6...,1,无法提取内容,https://tieba.baidu.com/p/10407706173,2026-01-19 20:02:30
学术/学习,想上岸上交，圆985的梦,偷锅老表,3,我现在是本科航海技术的，想努力一把考上交的船舶工程...,https://tieba.baidu.com/p/10406713451,2026-01-19 20:04:43
水帖/闲聊,为什么上🦶大没有求助氵贴,Dai、林可可,1337,NerdyNerd: 3 2025-6-3 09:38回复...,https://tieba.baidu.com/p/9562598527,2026-01-19 20:05:20
校园讨论/吐槽,校徽，是一个学校的形象,水山花,306,喜欢二次的朋友，不妨把自己的头像换成二次...,https://tieba.baidu.com/p/8725977239,2026-01-19 20:05:36
水帖/闲聊,？🧊前来闯上交！,薛珝,3,进攻胶带 但是角色未解锁,https://tieba.baidu.com/p/10406936790,2026-01-19 20:05:51
个人情感/故事,考个四级脸都丢尽了,0di00,12,今天是四级考试，监考老师发下答题卡来...,https://tieba.baidu.com/p/10308607067,2026-01-19 20:06:07
内容缺失,为什么特斯拉禁止进入部队，党政机关，涉密国企...,大海的女儿,14,为什么特斯拉禁止进入部队，党政机关，涉密国企和科研院所等单位?...",https://tieba.baidu.com/p/10325675105,2026-01-19 20:06:23
个人情感/故事,分享一个在本吧遇到的骗子,魔法居士,1,今天下午我在本吧发布了一个求助贴，希望能找到本校的同学...,https://tieba.baidu.com/p/10406394667,2026-01-19 20:06:38
学术/学习,电气本科教材,贴吧用户_...,3,求问一下吧友，交✌🏻们电气本科四大天书的教材是什么啊...,https://tieba.baidu.com/p/10402522312,2026-01-19 20:06:52
学术/学习,求助各位大佬！恒温箱温度一直高于预设温度...,贴吧用户_...,2,我们的种子培养要求25摄氏度，我们设置好了恒温箱后...,https://tieba.baidu.com/p/10402940735,2026-01-19 20:07:07
学术/学习,微电子的同学看过来！,自在独芯,32,有学校微电子学院qun，需要的进,https://tieba.baidu.com/p/9921311810,2026-01-19 20:07:23
学术/学习,证明哥德巴赫猜想，得到素数新数学,地表数学...,3,证明哥德巴赫猜想本质在于“任一大于2的偶数不被数值之内所有素数都整除的共性决定”...,https://tieba.baidu.com/p/10272051351,2026-01-19 20:07:38
校园生活/服务,交大徐汇校区租房,贴吧用户_...,1,有没有徐汇校区出租短期房子的呀，预算3k以内...,https://tieba.baidu.com/p/10400820956,2026-01-19 20:07:53
水帖/闲聊,终于黄牌力,👆王智贤,2,老规矩 ldx给我爆金币 xdx给我👻一个...,https://tieba.baidu.com/p/10397746237,2026-01-19 20:08:08
校园讨论/吐槽,社会发展需要司法公正,上海交通...,0,社会需要公平正义上海市高级人民法院对上海交通大学拒绝为工伤老教授担责下达裁定书...,https://tieba.baidu.com/p/10400151701,2026-01-19 20:08:23
内容缺失,国家正在大力发展可控核聚变但很可能是一项愚昧工程？！,延韩馀怀0...,20,首先抛出一句异常尖锐的话题：质疑氢弹成功爆炸的真实性...,https://tieba.baidu.com/p/10381014863,2026-01-19 20:08:38
校园讨论/吐槽,贵校的体育特长生平常会在学校学习吗？,是捏，,11,樊振东孙颖莎王曼昱，他们平常会在学校上课吗？...,https://tieba.baidu.com/p/10226106890,2026-01-19 20:08:53
校园生活/服务,闲置上海联通,贴吧用户_...,10,收一张自用上海联通，有偿收，有同学愿意出吗,https://tieba.baidu.com/p/10365066722,2026-01-19 20:09:08
广告/推广,【征稿参会】2026年机器人、自动化与机电一体化国际学术会议,EI投稿小...,0,2026年机器人、自动化与机电一体化国际学术会议开放投稿...,https://tieba.baidu.com/p/10396424000,2026-01-19 20:09:23
个人情感/故事,贵校人才真多,青铜卫士,7,大号莫名其妙咬我几句，直接拉黑跑路。...,https://tieba.baidu.com/p/10354776872,2026-01-19 20:09:39
学术/学习,考研苦行僧的生活乐趣调剂,ldhpqx,4,考研就是自我修炼自我超越，（毕业五年了每天就想回母校SJTU）...,https://tieba.baidu.com/p/10322908646,2026-01-19 20:09:54
校园生活/服务,华东和上交代课,在e界级,2,永德路附近学校代课，有需求的联系,https://tieba.baidu.com/p/10328248737,2026-01-19 20:10:30
个人情感/故事,有没有同学认识大二的刘瀚宇呀,李七夜,9,这是他的照片有认识的私我一下呢，谢谢啦,https://tieba.baidu.com/p/10382344697,2026-01-19 20:10:45
校园讨论/吐槽,第五人格主播高岭是否是上海交大学生,小红书用...,0,直播看见ta的消息弹窗弹出一个245班赵雪栏作弊...,https://tieba.baidu.com/p/10389327392,2026-01-19 20:11:00
学术/学习,求849复试经验,一意相与,0,有偿求各位学长学姐一下安泰经管院849复试经验...,https://tieba.baidu.com/p/10383018135,2026-01-19 20:11:16
内容缺失,上交大名妓辈出,Rolex_1011,0,无法提取内容,https://tieba.baidu.com/p/10388755793,2026-01-19 20:11:31
校园讨论/吐槽,上海交通大学#,全过程幸福,4,我想问一下贵校有这样的纪念奖杯吗，小红薯上看见一个自称上交毕业的...,https://tieba.baidu.com/p/10359470551,2026-01-19 20:11:46
学术/学习,标题五个字,卷饼C,5,想问下交大学计算机的同学,你们考研考本校的话大概要准备多久呀？...,https://tieba.baidu.com/p/10378171627,2026-01-19 20:12:02
个人情感/故事,失眠，有没有人聊聊天呀,yueyueniao44,0,失眠，有没有人聊聊天呀,https://tieba.baidu.com/p/10385213545,2026-01-19 20:12:18
广告/推广,老学长来了，新人第一波，科研指令汇总，免费分享！,贴吧用户_...,0,有需要的，可以去网站首页 ai66.org获取免费的学术指令...,https://tieba.baidu.com/p/10384265132,2026-01-19 20:12:33
职业/就业,求寒假家教,贴吧用户_...,0,坐标:闵行区永德路地铁站口（心梦园小区）...,https://tieba.baidu.com/p/10384049686,2026-01-19 20:12:47
校园讨论/吐槽,标题五个字,满天星与...,3,交大✌🏻校区好摩登 好羡慕,https://tieba.baidu.com/p/10381623770,2026-01-19 20:13:02
内容缺失,空间的本质,缔造自我,2,快捷键说明 空格: 播放 / 暂停 Esc: 退出全屏...,https://tieba.baidu.com/p/10132127108,2026-01-19 20:13:18
学术/学习,考研求助，考研求助,贴吧用户_...,8,各位帅气漂亮的学长学姐，27考研英语笔译...,https://tieba.baidu.com/p/10378089520,2026-01-19 20:13:33
学术/学习,报考人文学院研究生的请注意。,飚搏ザ四...,60,避开会索贿的老师。 我搬家朋友送了两个岩板桌...,https://tieba.baidu.com/p/9462103400,2026-01-19 20:13:48
个人情感/故事,求助，家里父母说一个航空学院的校长说可以给安排...,一卡一卡抓,4,父母不知道哪里认识的航空学院的校长说是，专门给解决就业...,https://tieba.baidu.com/p/10378235823,2026-01-19 20:14:24
广告/推广,分享：上海保安7200元,上海保安...,0,需要的私聊我 上海保安7200元...,https://tieba.baidu.com/p/10380357036,2026-01-19 20:14:40
职业/就业,【找搭档创业】纺织巡检车研发,旧人923187,1,甲方需求已确认，正在推进原型开发。 目前在上海...,https://tieba.baidu.com/p/10380228174,2026-01-19 20:14:55
学术/学习,准备考交大能动,亳呖,7,交大工热期末题目和初试题目命题侧重点是注重概念简答还是计算证明？,https://tieba.baidu.com/p/10227535934,2026-01-19 20:15:10
校园讨论/吐槽,交大前任校长－谢绳武,黑白年华,31,谢绳武先生1960年考入上海交通大学...,https://tieba.baidu.com/p/151009146,2026-01-19 20:15:24
职业/就业,咨询读研及以后职业规划,贴吧用户_...,4,找大四/研究生/博士学长（或学姐）！本人计算机专业大二在读...,https://tieba.baidu.com/p/10291746773,2026-01-19 20:15:40
职业/就业,有想做家教的同学吗？,giu洪,0,有想做家教的同学可以加加我的群，非常诚心哒,https://tieba.baidu.com/p/10378874012,2026-01-19 20:15:54
学术/学习,27材料考研外校想考交大求助,冫10,4,我是郑州大学的，我27考研想要考咱们学校的材料院...,https://tieba.baidu.com/p/10296387496,2026-01-19 20:16:09
学术/学习,某211想考研上交,贴吧用户_...,2,可以问一些电子信息工程相关的考研事项吗...,https://tieba.baidu.com/p/10338409545,2026-01-19 20:16:24
学术/学习,想咨询下贵校网安方向的博士师兄师姐,贴吧用户_...,4,要申请的话大概要几篇文章？rt，可以有偿咨询。。。,https://tieba.baidu.com/p/10362299249,2026-01-19 20:16:39
学术/学习,27国际政治考研求助,翊霈,3,我现在大三，27年想考交大的国际政治方向的硕...,https://tieba.baidu.com/p/10368703394,2026-01-19 20:16:54
学术/学习,学习规划,圐圐圙圙...,4,我想从事基金经理相关专业，请问学长学姐帮我规划下...,https://tieba.baidu.com/p/10376909279,2026-01-19 20:17:09
学术/学习,[技术贴]交大葡萄,1130445232,224,最近，很多同学都很好奇交大的葡萄pt到底是什么...,https://tieba.baidu.com/p/3272735233,2026-01-19 20:17:25
校园生活/服务,友情提示！,很认真的...,67,#谨防诈骗# 提醒所有进吧的吧友，尤其是非本校的...,https://tieba.baidu.com/p/8637099636,2026-01-19 19:43:35
校园讨论/吐槽,如何评价数学科学学院《致家长的一封信》？,冲浪小将,18,初入数学系，听说数院每学期都会特地寄一份成绩单给家长...,https://tieba.baidu.com/p/10383577682,2026-01-19 19:43:45
水帖/闲聊,【二补】【氵】济吧水楼,一直是小...,8410,那我缺的木柜子图哪里找啊,https://tieba.baidu.com/p/10071898412,2026-01-19 19:43:55
个人情感/故事,期末又砸了,我不是baraaka,10,我宣布我是tj摆烂第一人,https://tieba.baidu.com/p/10367893554,2026-01-19 19:45:07
水帖/闲聊,标题五个字,Arroyo,4,报告，济兵238号随军撤退,https://tieba.baidu.com/p/10402347016,2026-01-19 19:45:17
水帖/闲聊,我发贴吧表情，你们来打分,僧o.o,39,0分：狗都不用 1分：无人在意...,https://tieba.baidu.com/p/10393997538,2026-01-19 19:46:34
学术/学习,山东考生想上中德机械，求学哥学姐给点建议,Bokobest,18,本人（男）25年高考651，省排3400。 特别想学机械...,https://tieba.baidu.com/p/9826182046,2026-01-19 19:46:51
水帖/闲聊,大家是不是都退学了,很认真的...,35,我看大家IP都不在上海了,https://tieba.baidu.com/p/10397136614,2026-01-19 19:47:08
个人情感/故事,从波伏娃那里，获得“我相信，我决定，我满意我自己”的力量,Niaannn,6,若只是你，宛如晨曦中那缕最温柔的微光...,https://tieba.baidu.com/p/9926853785,2026-01-19 19:47:23
校园生活/服务,沪西小区校外人员能去打乒乓球吗,像柔风.,0,无法提取内容,https://tieba.baidu.com/p/10408492749,2026-01-19 19:47:38
校园生活/服务,乱成啥了都,不是二次...,14,坐标四平，刚我去校门口拿外卖的时候就看到有几个人...,https://tieba.baidu.com/p/10367925892,2026-01-19 19:47:54
学术/学习,求资料（混子不要来）,贴吧用户_...,2,求tj大学，地质资源与地质工程专业博士申请考核制复试资料...,https://tieba.baidu.com/p/10406117535,2026-01-19 19:48:10
